S³owoPodstawe;Synonim1;Synonim2;Synonim3;Synonim4;Synonim5;Synonim6;Synonim7;Synonim8;Synonim9;Synonim10;Synonim11;Synonim12;Synonim13;Synonim14;Synonim15;Synonim16;Synonim17;Synonim18
afiszowaæ siê;brylowaæ;obnosiæ siê;paradowaæ;popisywaæ siê;pozowaæ;wybijaæ siê;wystawiaæ na pokaz;;;;;;;;;;;
afonia;bezg³os;;;;;;;;;;;;;;;;;
aforystyczny;sentencjonalny;;;;;;;;;;;;;;;;;
aforyzm;gnoma;maksyma;mora³;porzekad³o;powiedzenie;powiedzonko;przys³owie;sentencja;z³ota myœl;;;;;;;;;
afroamerykanin;asfalt;bambus;czarnoskóry;czarnuch;czarny;Murzyn;;;;;;;;;;;;
afroamerykanka;czarna;Murzynka;;;;;;;;;;;;;;;;
afro;fryzura afro;;;;;;;;;;;;;;;;;
afront;despekt;dyshonor;obraza;ubli¿enie;uchybienie;ujma;zniewaga;;;;;;;;;;;
Afryka;Czarny Kontynent;Czarny L¹d;;;;;;;;;;;;;;;;
agapa;agape;uczta mi³oœci;;;;;;;;;;;;;;;;
agape;mi³oœæ niebiañska;;;;;;;;;;;;;;;;;
agencja;filia;przedstawicielstwo;;;;;;;;;;;;;;;;
agencja towarzyska;burdel;dom publiczny;dom rozpusty;lupanar;przybytek rozkoszy;zamtuz;;;;;;;;;;;;
agenda;dzia³;filia;oddzia³;sekcja;wydzia³;;;;;;;;;;;;;
agenda;harmonogram;scenariusz;;;;;;;;;;;;;;;;
agenda;kalendarz;terminarz;;;;;;;;;;;;;;;;
agenda;porz¹dek obrad;;;;;;;;;;;;;;;;;
agent;bezpieczniak;kret;szpicel;szpieg;wywiadowca;;;;;;;;;;;;;
agent;przedstawiciel;;;;;;;;;;;;;;;;;
agitacja;indoktrynacja;pranie mózgu;propaganda;;;;;;;;;;;;;;;
agitator;propagandysta;propagandzista;tuba;;;;;;;;;;;;;;;
agitowaæ;forsowaæ;lansowaæ;popychaæ;;;;;;;;;;;;;;;
agitowaæ;nak³aniaæ;przekonywaæ;urabiaæ;;;;;;;;;;;;;;;
aglomeracja;akumulacja;kondensacja;nagromadzenie;skupisko;;;;;;;;;;;;;;
aglomerowaæ;nagromadzaæ;;;;;;;;;;;;;;;;;
aglutynacyjny;aglutynuj¹cy;;;;;;;;;;;;;;;;;
agnostyk;niedowiarek;sceptyk;;;;;;;;;;;;;;;;
agonia;konanie;;;;;;;;;;;;;;;;;
agonia;mêczarnia;udrêka;;;;;;;;;;;;;;;;
agorafobia;lêk przestrzeni;;;;;;;;;;;;;;;;;
agrafia;dysgrafia;;;;;;;;;;;;;;;;;
agrarny;rolniczy;rolny;;;;;;;;;;;;;;;;
agregacja;podsumowanie;;;;;;;;;;;;;;;;;
